suite,metric,method,dataset,sparsity,cka_strength,round,layer,mean,std,count,seed_count,seeds
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,2,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,3,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,4,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,5,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,6,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,7,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,8,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,9,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,10,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,11,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,12,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,13,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,14,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,15,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,16,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,17,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,18,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,19,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.2,20,conv1,0.9999760508537292,2.670316025464746e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,2,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,3,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,4,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,5,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,6,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,7,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,8,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,9,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,10,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,11,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,12,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,13,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,14,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,15,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,16,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,17,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,18,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,19,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.5,20,conv1,0.9999760508537292,2.670316025464746e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,2,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,3,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,4,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,5,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,6,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,7,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,8,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,9,conv1,0.999948239326477,4.401187758487125e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,10,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,11,conv1,0.9999446868896484,3.1895252427666333e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,12,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,13,conv1,0.9999646425247193,3.0273773529081364e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,14,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,15,conv1,0.9999477863311768,6.401400102860227e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,16,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,17,conv1,0.9999606490135193,5.254490724153858e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,18,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,19,conv1,0.9999642610549927,3.2122994160359486e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.8,20,conv1,0.9999760508537292,2.670316025464746e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.9,2,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.9,3,conv1,0.999975836277008,2.0839798953095927e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.9,4,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.9,5,conv1,0.9999587416648865,3.5418336796854246e-05,5,5,"7,13,21,42,100"
cka_strength,cka,cka_feddst,cifar10,0.5,0.9,6,conv1,0.9999525904655456,4.174016286206925e-05,5,5,"7,13,21,42,100"
