method,dataset,sparsity,seed,split_manifest_path,cka_strength,cka_signal,round,layer,client_i,client_j,cka,average_layer_cka,num_reference_samples
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,1,3,0.999958872795105,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,1,4,0.9999836087226868,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,2,0,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,2,1,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,2,2,1.0,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,2,3,0.9999547004699707,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,2,4,0.9999752044677734,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,3,0,0.9999549388885498,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,3,1,0.999958872795105,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,3,2,0.9999547004699707,0.9999778866767883,500
cka_feddst,cifar10,0.8,42,results/logs/smoke_cifar10_drift/splits/cifar10_split_seed42_clients5_alpha0p3_ref500.json,0.2,drift,2,conv2,3,3,1.0,0.9999778866767883,500
