suite,metric,method,dataset,sparsity,cka_strength,round,mean,std,count,seed_count,seeds
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,9,0.85876,0.031229521289958952,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,10,0.87842,0.0204558549075809,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,11,0.8839600000000001,0.02404002911811882,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,12,0.85906,0.04441517758604596,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,13,0.89338,0.021301220622302393,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,14,0.84006,0.11139563725747968,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,15,0.7285,0.35568665282801937,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,16,0.89618,0.012154299650740894,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,17,0.79786,0.21705485021072438,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,18,0.9059000000000001,0.019522807175198977,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,19,0.87442,0.07679792965959432,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.8,20,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,1,0.21417999999999998,0.08564903385327823,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,2,0.41331999999999997,0.08387909155445115,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,3,0.65462,0.04627982281729264,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,4,0.7317400000000001,0.05012407605133484,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,5,0.76476,0.03996308296415581,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,6,0.78914,0.02265883933479381,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,7,0.77308,0.13757169767070548,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,8,0.8596,0.029023180390853106,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,9,0.85876,0.031229521289958952,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,10,0.87842,0.0204558549075809,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,11,0.8839600000000001,0.02404002911811882,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,12,0.85906,0.04441517758604596,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,13,0.89338,0.021301220622302393,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,14,0.84006,0.11139563725747968,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,15,0.7285,0.35568665282801937,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,16,0.89618,0.012154299650740894,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,17,0.79786,0.21705485021072438,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,18,0.9059000000000001,0.019522807175198977,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,19,0.87442,0.07679792965959432,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,0.9,20,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,1,0.21417999999999998,0.08564903385327823,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,2,0.41331999999999997,0.08387909155445115,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,3,0.65462,0.04627982281729264,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,4,0.7317400000000001,0.05012407605133484,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,5,0.76476,0.03996308296415581,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,6,0.78914,0.02265883933479381,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,7,0.77308,0.13757169767070548,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,8,0.8596,0.029023180390853106,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,9,0.85876,0.031229521289958952,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,10,0.87842,0.0204558549075809,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,11,0.8839600000000001,0.02404002911811882,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,12,0.85906,0.04441517758604596,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,13,0.89338,0.021301220622302393,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,14,0.84006,0.11139563725747968,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,15,0.7285,0.35568665282801937,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,16,0.89618,0.012154299650740894,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,17,0.79786,0.21705485021072438,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,18,0.9059000000000001,0.019522807175198977,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,19,0.87442,0.07679792965959432,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.5,1.0,20,0.9129799999999999,0.019746316112125836,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,1,0.14094,0.06950646013141512,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,2,0.22144,0.10381863031267557,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,3,0.4234,0.09508740715783558,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,4,0.6413399999999999,0.049859582830184226,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,5,0.646,0.07159109581505231,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,6,0.73952,0.027999767856180552,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,7,0.7478,0.14245546672557005,5,5,"7,13,21,42,100"
cka_strength,test_accuracy,cka_feddst,mnist,0.7,0.2,8,0.83098,0.02851468042956121,5,5,"7,13,21,42,100"
